Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
72,84,90,64,85,77,66,62,91,9,4,5,5,5,no,yes,no,shell programming,hacking,no,no,excellent,medium,networks,cloud computing,higherstudies,product development,no,yes,Biographies,Work,yes,stubborn,Technical,work,smart worker,no,yes,Mobile Applications Developer
78,76,70,73,94,65,89,80,68,4,5,1,1,3,no,no,no,full stack,cloud computing,yes,no,poor,excellent,data engineering,cloud computing,higherstudies,product development,yes,yes,Drama,salary,no,gentle,Management,salary,hard worker,yes,no,Mobile Applications Developer
82,63,74,72,79,87,80,83,74,8,3,1,8,6,no,yes,no,shell programming,testing,no,yes,medium,excellent,Management,system developer,higherstudies,Service Based,yes,yes,Encyclopedias,Work,no,gentle,Management,work,hard worker,yes,no,Mobile Applications Developer
91,76,90,60,78,90,77,64,93,12,5,2,2,3,yes,yes,yes,python,hacking,yes,no,excellent,medium,parallel computing,system developer,job,Sales and Marketing,no,no,Religion-Spirituality,salary,no,gentle,Technical,work,smart worker,no,no,Mobile Applications Developer
70,92,77,61,71,61,69,83,75,12,9,4,8,1,no,yes,no,full stack,game development,no,no,excellent,excellent,cloud computing,system developer,higherstudies,Finance,yes,no,Guide,salary,no,stubborn,Management,work,hard worker,yes,yes,Mobile Applications Developer
72,74,77,77,76,71,68,75,67,10,2,4,9,4,yes,no,no,r programming,data science,yes,no,medium,excellent,Software Engineering,developer,job,Finance,yes,yes,Poetry,salary,no,gentle,Management,work,smart worker,no,yes,Mobile Applications Developer
81,79,86,75,91,61,66,84,65,4,5,5,3,3,no,yes,no,information security,cloud computing,no,yes,poor,excellent,data engineering,security,higherstudies,Web Services,no,no,Encyclopedias,salary,no,stubborn,Technical,salary,smart worker,yes,yes,Mobile Applications Developer
66,78,69,69,77,77,64,66,93,8,3,0,8,1,yes,yes,yes,python,cloud computing,no,no,medium,excellent,Computer Architecture,testing,job,Finance,yes,yes,Self help,Work,no,gentle,Technical,work,hard worker,yes,no,Mobile Applications Developer
65,60,89,81,64,79,91,66,71,9,5,2,4,9,no,no,yes,information security,testing,no,no,medium,medium,cloud computing,security,higherstudies,SAaS services,no,yes,Series,Work,no,stubborn,Management,salary,hard worker,no,yes,Mobile Applications Developer
93,85,92,63,87,79,78,85,65,5,5,3,5,9,no,no,yes,shell programming,system designing,no,yes,medium,poor,programming,testing,job,Web Services,no,yes,Prayer books,salary,no,gentle,Management,salary,smart worker,yes,yes,Mobile Applications Developer
91,78,88,66,60,85,78,82,83,11,8,4,1,8,no,no,no,shell programming,hacking,yes,yes,excellent,medium,parallel computing,Business process analyst,higherstudies,SAaS services,yes,yes,Drama,Work,no,gentle,Management,work,hard worker,yes,no,Mobile Applications Developer
77,89,60,80,69,80,60,66,92,6,7,6,5,2,no,yes,no,r programming,cloud computing,yes,no,excellent,medium,networks,developer,higherstudies,Cloud Services,yes,yes,Science fiction,Work,no,stubborn,Management,work,smart worker,yes,yes,Mobile Applications Developer
60,84,72,74,70,94,69,69,81,8,6,5,2,1,no,yes,yes,machine learning,testing,yes,yes,poor,medium,networks,developer,job,Sales and Marketing,no,no,Series,Work,yes,stubborn,Management,work,hard worker,yes,no,Mobile Applications Developer
77,67,69,93,81,87,70,75,60,12,7,5,7,2,no,yes,no,full stack,game development,yes,yes,poor,medium,Software Engineering,system developer,higherstudies,Finance,yes,yes,Travel,Work,yes,stubborn,Technical,work,hard worker,no,yes,Mobile Applications Developer
84,87,60,89,81,81,80,63,63,5,3,5,4,4,yes,no,yes,shell programming,hacking,yes,no,poor,medium,parallel computing,cloud computing,higherstudies,product development,yes,no,Science,salary,no,stubborn,Technical,salary,smart worker,no,no,Mobile Applications Developer
69,84,72,89,68,87,73,60,78,4,5,3,7,8,yes,yes,yes,app development,data science,yes,no,medium,poor,Computer Architecture,system developer,higherstudies,Sales and Marketing,yes,yes,Drama,Work,no,stubborn,Management,salary,smart worker,yes,yes,Mobile Applications Developer
64,62,85,87,91,79,87,76,94,11,5,0,1,8,yes,yes,no,distro making,system designing,yes,no,poor,poor,Computer Architecture,developer,job,product development,yes,no,Health,salary,no,gentle,Management,salary,smart worker,no,no,Mobile Applications Developer
94,67,73,91,89,63,75,73,85,5,7,6,5,4,yes,yes,no,python,data science,yes,no,excellent,medium,networks,testing,higherstudies,SAaS services,yes,no,Encyclopedias,Work,yes,stubborn,Technical,salary,hard worker,no,no,Mobile Applications Developer
72,64,69,94,76,83,72,80,80,8,4,5,1,5,no,yes,yes,shell programming,web technologies,yes,no,poor,poor,hacking,system developer,higherstudies,Sales and Marketing,no,yes,Guide,Work,yes,stubborn,Management,salary,smart worker,no,no,Mobile Applications Developer
91,63,77,73,92,92,66,68,80,11,9,5,1,1,yes,yes,no,app development,system designing,yes,no,medium,poor,Software Engineering,testing,job,Service Based,yes,yes,Horror,Work,yes,stubborn,Management,work,hard worker,yes,no,Mobile Applications Developer
91,90,75,84,76,89,60,84,81,9,9,0,8,3,no,no,yes,machine learning,hacking,yes,no,medium,excellent,Computer Architecture,testing,higherstudies,Sales and Marketing,no,yes,Horror,Work,yes,gentle,Management,work,smart worker,no,yes,Mobile Applications Developer
94,83,84,64,67,91,88,61,90,9,3,5,1,4,no,yes,no,distro making,hacking,yes,yes,medium,medium,Computer Architecture,testing,higherstudies,Sales and Marketing,yes,yes,Fantasy,Work,yes,stubborn,Management,salary,hard worker,no,no,Mobile Applications Developer
64,66,78,86,69,86,90,71,61,10,2,3,6,3,no,no,yes,hadoop,testing,yes,yes,poor,poor,networks,system developer,job,Finance,no,yes,Diaries,Work,no,stubborn,Management,salary,hard worker,no,yes,Mobile Applications Developer
72,69,86,90,85,80,60,79,86,4,9,5,4,2,no,yes,no,python,data science,yes,no,excellent,excellent,parallel computing,testing,job,Finance,no,yes,Health,salary,yes,gentle,Technical,work,hard worker,yes,no,Mobile Applications Developer
90,80,76,67,74,76,61,66,72,8,6,1,7,8,no,no,no,distro making,cloud computing,yes,yes,poor,excellent,IOT,testing,higherstudies,Cloud Services,no,yes,Dictionaries,salary,no,stubborn,Management,work,smart worker,no,no,Mobile Applications Developer
87,67,84,63,85,66,77,79,74,9,4,0,5,1,no,yes,no,r programming,game development,no,yes,medium,poor,hacking,system developer,higherstudies,Web Services,no,yes,Health,salary,yes,gentle,Management,salary,smart worker,yes,yes,Mobile Applications Developer
91,62,88,66,86,87,85,76,76,7,5,0,6,5,no,no,yes,r programming,testing,yes,yes,excellent,medium,Computer Architecture,developer,higherstudies,Service Based,yes,no,Satire,Work,no,gentle,Technical,work,smart worker,no,yes,Mobile Applications Developer
67,76,64,61,77,81,83,72,64,7,6,5,8,8,yes,no,yes,hadoop,testing,yes,no,excellent,poor,data engineering,cloud computing,job,SAaS services,no,no,Mystery,Work,yes,gentle,Management,work,smart worker,no,no,Mobile Applications Developer
88,71,79,67,70,61,92,86,72,9,7,1,2,7,no,yes,no,full stack,hacking,yes,yes,poor,poor,data engineering,Business process analyst,job,Cloud Services,no,yes,History,Work,yes,stubborn,Technical,work,smart worker,no,yes,Mobile Applications Developer
91,71,76,85,60,82,66,75,61,11,9,1,8,5,no,yes,no,r programming,web technologies,yes,yes,medium,medium,cloud computing,Business process analyst,job,Testing and Maintainance Services,yes,no,Series,salary,no,gentle,Technical,work,smart worker,no,yes,Mobile Applications Developer
63,89,70,86,74,62,64,64,82,10,8,0,7,2,no,no,yes,distro making,hacking,yes,no,poor,poor,Software Engineering,system developer,higherstudies,Finance,yes,yes,Drama,Work,yes,stubborn,Management,work,smart worker,no,yes,Mobile Applications Developer
62,76,78,79,87,78,74,88,79,5,4,1,9,1,yes,no,yes,app development,testing,no,no,poor,medium,cloud computing,cloud computing,higherstudies,Sales and Marketing,no,no,Religion-Spirituality,Work,no,stubborn,Technical,salary,hard worker,no,yes,Mobile Applications Developer
67,76,68,78,61,71,79,75,90,5,4,0,1,2,yes,no,no,shell programming,system designing,no,yes,poor,poor,networks,testing,higherstudies,Product based,yes,no,Travel,Work,no,stubborn,Technical,salary,hard worker,no,yes,Mobile Applications Developer
74,78,72,81,87,79,83,60,76,6,9,3,9,8,no,no,yes,distro making,system designing,no,yes,excellent,medium,programming,testing,job,Product based,yes,no,Self help,salary,yes,gentle,Management,work,hard worker,no,no,Mobile Applications Developer
67,76,68,72,61,71,70,68,66,8,2,0,5,9,yes,yes,no,full stack,game development,yes,no,medium,poor,programming,cloud computing,higherstudies,Testing and Maintainance Services,yes,yes,Mystery,Work,yes,gentle,Management,salary,hard worker,no,yes,Mobile Applications Developer
71,68,64,75,67,63,80,61,75,10,1,6,4,5,yes,yes,no,shell programming,testing,no,yes,medium,excellent,IOT,cloud computing,job,Cloud Services,no,yes,Self help,salary,yes,stubborn,Management,work,hard worker,no,yes,Mobile Applications Developer
86,82,82,93,67,80,93,60,94,10,2,1,7,2,no,yes,no,shell programming,data science,yes,yes,poor,excellent,networks,Business process analyst,job,Product based,no,yes,Mystery,Work,no,stubborn,Technical,salary,smart worker,no,yes,Mobile Applications Developer
82,70,67,75,68,72,75,66,70,6,7,0,4,2,no,yes,no,hadoop,data science,yes,yes,excellent,poor,IOT,testing,higherstudies,Testing and Maintainance Services,no,yes,Math,Work,no,gentle,Technical,work,hard worker,yes,yes,Mobile Applications Developer
82,68,61,92,91,62,66,64,61,5,6,0,9,5,no,no,no,python,system designing,no,no,medium,excellent,Software Engineering,developer,higherstudies,Finance,yes,no,Series,Work,no,stubborn,Management,salary,hard worker,no,yes,Mobile Applications Developer
63,89,60,65,64,77,74,86,93,5,1,6,2,6,no,no,yes,full stack,game development,no,yes,poor,medium,networks,system developer,job,BPA,no,no,Religion-Spirituality,Work,no,stubborn,Technical,salary,hard worker,yes,no,Mobile Applications Developer
64,87,68,65,65,60,89,72,78,11,6,3,6,6,no,yes,yes,machine learning,hacking,no,yes,excellent,excellent,networks,Business process analyst,job,Finance,no,no,Anthology,salary,no,gentle,Management,salary,hard worker,yes,yes,Mobile Applications Developer
85,70,93,82,80,87,84,80,70,11,7,0,4,9,yes,yes,yes,hadoop,cloud computing,no,no,excellent,excellent,parallel computing,developer,higherstudies,Product based,no,yes,Health,salary,no,gentle,Technical,work,hard worker,yes,yes,Mobile Applications Developer
78,67,87,64,83,68,68,90,71,6,3,5,9,5,yes,yes,no,app development,system designing,no,yes,medium,medium,Management,developer,higherstudies,Testing and Maintainance Services,yes,yes,Poetry,salary,no,stubborn,Technical,work,hard worker,yes,no,Mobile Applications Developer
67,90,68,90,75,65,88,77,69,9,2,0,6,1,yes,yes,yes,distro making,testing,yes,yes,medium,poor,Software Engineering,security,higherstudies,Service Based,no,yes,Horror,salary,no,gentle,Technical,salary,smart worker,no,no,Mobile Applications Developer
66,86,92,80,73,83,91,83,71,5,9,5,1,1,yes,no,yes,information security,cloud computing,no,yes,medium,excellent,cloud computing,cloud computing,higherstudies,BPA,yes,no,Health,salary,yes,stubborn,Management,salary,smart worker,yes,yes,Mobile Applications Developer
68,81,94,86,94,88,87,86,68,5,3,0,6,7,yes,no,yes,machine learning,hacking,yes,yes,medium,medium,programming,testing,job,Cloud Services,yes,yes,Guide,salary,yes,stubborn,Management,work,hard worker,yes,no,Mobile Applications Developer
64,82,79,86,66,86,86,61,77,11,2,1,7,6,no,no,yes,hadoop,web technologies,yes,yes,excellent,excellent,programming,developer,higherstudies,Testing and Maintainance Services,yes,no,Comics,Work,yes,stubborn,Technical,salary,smart worker,no,yes,Mobile Applications Developer
68,68,64,78,79,78,86,82,73,11,1,4,8,5,no,no,no,machine learning,hacking,yes,yes,medium,excellent,cloud computing,Business process analyst,higherstudies,Finance,yes,no,Guide,Work,no,gentle,Technical,work,hard worker,no,no,Mobile Applications Developer
70,62,86,73,65,64,71,92,81,9,9,5,2,5,yes,yes,yes,hadoop,system designing,yes,yes,medium,excellent,programming,system developer,job,product development,yes,no,Satire,salary,yes,gentle,Technical,salary,smart worker,no,yes,Mobile Applications Developer
92,88,80,77,87,75,67,78,71,5,1,3,6,9,no,yes,no,app development,testing,no,no,excellent,excellent,Computer Architecture,developer,higherstudies,BPA,no,yes,Trilogy,Work,no,stubborn,Technical,work,hard worker,yes,yes,Mobile Applications Developer
80,72,78,66,75,71,69,93,93,11,1,3,1,7,yes,no,no,app development,testing,yes,no,excellent,poor,Software Engineering,system developer,job,SAaS services,yes,no,Action and Adventure,Work,no,stubborn,Technical,work,smart worker,no,yes,Mobile Applications Developer
90,66,66,88,93,71,83,89,91,7,4,6,2,6,yes,yes,yes,information security,data science,no,yes,poor,medium,networks,testing,job,Finance,yes,yes,Series,salary,yes,gentle,Management,work,smart worker,yes,no,Mobile Applications Developer
70,89,94,85,92,63,74,70,83,6,9,4,3,6,yes,yes,yes,hadoop,web technologies,no,yes,excellent,medium,Management,Business process analyst,job,Web Services,no,no,Drama,salary,no,stubborn,Management,work,smart worker,no,no,Mobile Applications Developer
67,81,71,77,82,87,68,87,90,8,4,5,6,1,yes,no,yes,r programming,cloud computing,no,yes,poor,medium,data engineering,testing,job,Product based,yes,yes,Action and Adventure,salary,no,stubborn,Management,work,hard worker,no,no,Mobile Applications Developer
71,85,64,91,81,67,71,89,71,11,2,3,8,2,no,yes,yes,app development,hacking,no,yes,excellent,medium,Computer Architecture,system developer,higherstudies,BPA,no,yes,Drama,salary,no,stubborn,Management,salary,hard worker,yes,no,Mobile Applications Developer
64,73,63,90,60,77,75,83,61,5,8,5,6,6,yes,no,yes,r programming,testing,no,no,excellent,poor,IOT,developer,job,SAaS services,yes,no,Horror,salary,yes,gentle,Technical,salary,hard worker,yes,no,Mobile Applications Developer
94,75,88,66,88,63,83,82,74,11,4,0,3,4,yes,yes,no,python,data science,no,yes,poor,medium,hacking,Business process analyst,higherstudies,Product based,yes,yes,Guide,salary,no,stubborn,Technical,work,smart worker,no,yes,Mobile Applications Developer
87,92,69,62,90,74,78,64,74,11,4,4,5,2,no,no,yes,machine learning,web technologies,yes,no,excellent,medium,Management,developer,higherstudies,Product based,no,no,Guide,salary,no,gentle,Technical,work,smart worker,no,yes,Mobile Applications Developer
85,62,71,78,91,89,83,78,87,12,2,2,9,4,yes,yes,yes,app development,data science,no,yes,medium,poor,parallel computing,testing,job,Service Based,yes,no,Self help,Work,no,gentle,Technical,work,hard worker,no,yes,Mobile Applications Developer
61,80,85,79,64,78,62,91,90,8,9,6,7,8,no,no,no,app development,database security,yes,yes,excellent,poor,Software Engineering,system developer,job,BPA,no,yes,Guide,salary,no,gentle,Management,salary,smart worker,yes,yes,Mobile Applications Developer
77,91,74,93,67,66,76,64,93,9,9,0,6,7,yes,yes,yes,shell programming,system designing,yes,no,medium,poor,hacking,security,higherstudies,SAaS services,no,yes,Drama,Work,yes,stubborn,Management,work,smart worker,no,no,Mobile Applications Developer
88,92,85,92,65,88,76,87,65,4,7,3,8,9,no,yes,yes,full stack,web technologies,no,yes,poor,excellent,IOT,security,higherstudies,SAaS services,no,yes,Anthology,salary,yes,gentle,Technical,work,smart worker,yes,yes,Mobile Applications Developer
72,85,77,88,91,88,78,91,83,8,5,6,1,9,yes,yes,yes,app development,testing,yes,yes,medium,medium,IOT,developer,higherstudies,Sales and Marketing,yes,no,Science,Work,yes,stubborn,Technical,salary,hard worker,yes,yes,Network Security Engineer
81,84,69,71,88,60,75,93,74,11,3,3,7,8,no,no,yes,distro making,data science,yes,yes,medium,excellent,parallel computing,Business process analyst,higherstudies,BPA,no,no,Biographies,Work,yes,stubborn,Management,salary,hard worker,no,yes,Network Security Engineer
64,67,79,71,71,64,67,93,67,10,7,3,1,1,no,no,yes,machine learning,web technologies,no,yes,medium,medium,Software Engineering,cloud computing,higherstudies,Cloud Services,no,yes,Self help,salary,yes,gentle,Management,work,smart worker,no,yes,Network Security Engineer
85,81,85,88,64,76,88,82,65,8,2,6,6,3,yes,no,yes,r programming,system designing,yes,no,excellent,medium,parallel computing,security,higherstudies,Cloud Services,yes,no,Science,salary,no,gentle,Management,salary,smart worker,no,no,Network Security Engineer
88,62,78,61,69,62,86,65,75,7,4,2,2,9,yes,yes,yes,shell programming,web technologies,yes,no,poor,poor,data engineering,testing,job,Service Based,no,no,Romance,salary,no,stubborn,Technical,salary,hard worker,no,yes,Network Security Engineer
92,72,79,83,79,88,76,78,67,9,5,1,8,5,yes,no,no,hadoop,data science,no,no,medium,excellent,data engineering,system developer,job,Sales and Marketing,yes,yes,Autobiographies,Work,no,gentle,Technical,work,smart worker,no,no,Network Security Engineer
63,91,72,72,92,85,62,81,69,5,7,6,7,8,yes,no,yes,information security,web technologies,yes,yes,poor,excellent,programming,Business process analyst,higherstudies,Product based,yes,no,Diaries,Work,no,stubborn,Management,work,hard worker,yes,no,Network Security Engineer
89,83,81,75,71,86,93,60,87,6,5,0,7,5,no,no,yes,machine learning,hacking,yes,yes,excellent,poor,Software Engineering,cloud computing,higherstudies,Service Based,yes,no,Anthology,salary,no,gentle,Management,work,smart worker,yes,yes,Network Security Engineer
60,73,65,65,76,64,64,77,72,6,3,6,8,5,no,yes,no,shell programming,database security,no,no,excellent,medium,parallel computing,Business process analyst,job,Sales and Marketing,yes,yes,Health,salary,no,gentle,Technical,work,hard worker,yes,no,Network Security Engineer
61,70,70,90,66,69,68,92,90,4,5,0,5,7,yes,no,no,app development,cloud computing,no,yes,excellent,poor,Software Engineering,developer,higherstudies,Cloud Services,yes,no,Series,Work,yes,stubborn,Management,salary,smart worker,no,no,Network Security Engineer
62,75,69,82,69,84,87,61,71,11,7,5,2,7,yes,no,yes,python,hacking,yes,no,excellent,excellent,networks,testing,job,Testing and Maintainance Services,yes,no,Health,Work,yes,stubborn,Technical,salary,hard worker,no,no,Network Security Engineer
88,79,89,81,85,87,86,71,93,11,9,2,2,7,no,yes,no,app development,data science,no,yes,poor,excellent,Management,Business process analyst,job,Service Based,no,no,Romance,salary,yes,gentle,Management,salary,hard worker,no,yes,Network Security Engineer
83,67,72,81,65,77,77,74,90,11,2,0,7,2,no,yes,yes,shell programming,game development,no,yes,excellent,excellent,networks,Business process analyst,higherstudies,Sales and Marketing,no,no,Poetry,salary,no,gentle,Management,work,hard worker,yes,yes,Network Security Engineer
92,81,85,78,67,78,71,70,87,7,7,2,2,8,no,yes,no,r programming,cloud computing,no,no,poor,medium,Computer Architecture,testing,higherstudies,Testing and Maintainance Services,yes,yes,Poetry,salary,no,stubborn,Management,work,hard worker,yes,yes,Network Security Engineer
94,82,62,75,76,71,63,65,74,12,7,4,1,1,no,yes,yes,distro making,testing,no,no,medium,excellent,parallel computing,cloud computing,job,Sales and Marketing,no,no,Travel,Work,no,gentle,Management,salary,hard worker,yes,no,Network Security Engineer
69,60,91,61,69,88,63,80,68,10,9,6,1,8,no,yes,yes,app development,testing,yes,no,excellent,medium,hacking,cloud computing,higherstudies,product development,yes,yes,Diaries,salary,yes,stubborn,Management,work,hard worker,no,yes,Network Security Engineer
83,83,61,87,86,83,84,77,86,4,3,6,4,1,no,yes,no,machine learning,game development,no,yes,poor,excellent,Management,security,job,Finance,no,yes,Horror,Work,no,stubborn,Management,salary,hard worker,yes,yes,Network Security Engineer
73,75,75,69,84,89,70,88,88,8,6,5,6,5,yes,yes,no,r programming,system designing,yes,no,poor,poor,cloud computing,developer,higherstudies,SAaS services,yes,no,Science,Work,no,gentle,Technical,work,smart worker,no,yes,Network Security Engineer
86,64,64,62,66,64,68,61,68,6,6,2,8,4,no,yes,no,app development,game development,no,yes,excellent,medium,Computer Architecture,testing,job,BPA,no,yes,Guide,salary,no,stubborn,Management,salary,smart worker,no,no,Network Security Engineer
70,60,70,66,84,64,94,81,77,10,5,4,8,6,yes,no,no,hadoop,cloud computing,no,no,medium,excellent,networks,testing,job,BPA,yes,no,Guide,salary,yes,gentle,Technical,work,hard worker,yes,yes,Network Security Engineer
73,68,92,68,62,70,78,85,88,11,4,2,1,7,yes,yes,no,shell programming,hacking,yes,no,medium,excellent,programming,Business process analyst,higherstudies,Service Based,no,no,Biographies,Work,yes,gentle,Technical,salary,smart worker,yes,no,Network Security Engineer
88,71,71,92,74,70,62,92,82,10,5,2,8,2,no,no,yes,shell programming,testing,no,no,excellent,poor,IOT,testing,higherstudies,Sales and Marketing,yes,no,Science fiction,salary,yes,stubborn,Technical,work,smart worker,yes,no,Network Security Engineer
88,93,94,73,84,64,91,60,78,8,9,1,2,3,no,no,no,r programming,data science,no,no,excellent,excellent,programming,security,job,BPA,no,no,Religion-Spirituality,salary,no,stubborn,Management,work,smart worker,yes,no,Network Security Engineer
69,64,63,85,76,60,63,75,87,6,6,4,5,4,no,no,no,app development,database security,yes,no,excellent,excellent,Computer Architecture,security,job,BPA,no,no,Encyclopedias,Work,yes,stubborn,Management,work,hard worker,yes,yes,Network Security Engineer
88,85,68,84,88,66,86,76,82,12,2,5,2,4,no,yes,no,full stack,system designing,no,no,medium,excellent,networks,system developer,higherstudies,Sales and Marketing,no,yes,Journals,Work,no,gentle,Management,salary,hard worker,yes,yes,Network Security Engineer
75,84,60,67,64,62,60,77,91,10,1,4,2,1,yes,yes,yes,python,cloud computing,yes,yes,medium,medium,networks,developer,job,Service Based,no,no,Self help,Work,no,gentle,Technical,work,smart worker,yes,yes,Network Security Engineer
84,78,70,73,84,75,91,92,69,11,6,2,8,4,no,no,no,distro making,testing,no,no,poor,excellent,Management,cloud computing,higherstudies,Testing and Maintainance Services,yes,no,Self help,salary,no,stubborn,Technical,work,hard worker,yes,yes,Network Security Engineer
84,60,79,62,79,83,80,69,94,10,2,3,1,8,yes,no,no,full stack,data science,no,yes,excellent,poor,parallel computing,testing,higherstudies,product development,yes,yes,Guide,Work,yes,stubborn,Technical,salary,hard worker,yes,no,Network Security Engineer
91,86,71,93,81,81,76,80,76,7,2,1,7,2,no,no,yes,r programming,database security,no,no,excellent,medium,cloud computing,system developer,higherstudies,SAaS services,no,no,Religion-Spirituality,salary,no,stubborn,Technical,salary,hard worker,yes,yes,Network Security Engineer
77,90,92,69,88,90,94,71,88,7,6,5,7,3,no,yes,no,app development,data science,yes,yes,medium,medium,parallel computing,testing,job,BPA,yes,no,Guide,Work,no,gentle,Technical,salary,smart worker,yes,no,Network Security Engineer
93,67,75,71,79,64,64,93,91,6,6,0,1,9,no,yes,no,distro making,testing,yes,no,medium,excellent,Software Engineering,system developer,job,Web Services,yes,no,Diaries,salary,no,stubborn,Management,salary,smart worker,yes,yes,Network Security Engineer
78,60,76,88,93,62,68,63,92,11,1,0,2,6,no,no,no,r programming,web technologies,yes,no,excellent,medium,networks,security,job,BPA,no,no,Series,Work,yes,gentle,Technical,salary,smart worker,yes,yes,Network Security Engineer
69,85,75,73,81,66,64,81,94,10,3,4,9,7,yes,no,no,python,system designing,yes,yes,poor,medium,Computer Architecture,cloud computing,job,Product based,no,yes,Prayer books,salary,no,gentle,Technical,work,smart worker,no,no,Network Security Engineer
81,63,69,91,66,60,67,67,71,9,7,1,4,4,yes,yes,yes,machine learning,data science,yes,no,excellent,poor,Computer Architecture,Business process analyst,job,SAaS services,no,yes,Self help,salary,no,gentle,Management,work,smart worker,no,yes,Network Security Engineer
69,65,87,65,82,62,70,90,64,10,2,6,9,3,yes,no,yes,full stack,hacking,no,no,medium,excellent,Software Engineering,Business process analyst,job,Cloud Services,no,no,Religion-Spirituality,Work,yes,gentle,Management,work,smart worker,yes,yes,Network Security Engineer
90,70,87,74,93,79,92,79,64,8,5,6,7,5,yes,no,no,full stack,web technologies,yes,yes,excellent,excellent,programming,testing,higherstudies,product development,yes,no,Mystery,Work,no,gentle,Technical,salary,smart worker,yes,yes,Network Security Engineer
74,81,91,80,68,68,86,63,66,10,6,1,8,7,no,no,yes,information security,database security,no,yes,poor,medium,Software Engineering,security,job,Sales and Marketing,yes,no,Self help,Work,no,stubborn,Technical,salary,smart worker,yes,no,Network Security Engineer
90,94,62,77,63,68,87,78,79,7,4,2,9,2,yes,yes,yes,python,database security,yes,no,poor,poor,Computer Architecture,system developer,job,Testing and Maintainance Services,yes,yes,Childrens,Work,yes,gentle,Technical,salary,hard worker,yes,no,Network Security Engineer
85,60,64,82,85,70,64,65,90,10,5,4,2,6,yes,yes,yes,distro making,cloud computing,yes,no,medium,medium,programming,developer,job,product development,yes,no,Biographies,salary,yes,stubborn,Technical,salary,hard worker,yes,yes,Network Security Engineer
77,76,61,94,74,75,63,63,74,8,6,4,3,1,yes,no,no,machine learning,hacking,no,yes,poor,poor,IOT,Business process analyst,higherstudies,SAaS services,yes,yes,Comics,Work,no,stubborn,Management,work,hard worker,no,yes,Network Security Engineer
61,81,78,94,66,63,68,79,63,10,7,5,6,2,no,no,yes,app development,cloud computing,no,yes,poor,excellent,hacking,Business process analyst,higherstudies,Service Based,no,yes,Guide,salary,no,gentle,Technical,work,smart worker,yes,yes,Network Security Engineer
66,82,84,91,73,63,90,69,63,10,5,2,7,4,yes,no,yes,machine learning,system designing,no,yes,excellent,poor,hacking,developer,job,Product based,yes,yes,Horror,salary,yes,gentle,Technical,work,hard worker,no,no,Network Security Engineer
67,80,90,64,66,69,75,61,66,4,5,2,5,3,yes,no,no,app development,hacking,no,yes,poor,poor,Software Engineering,system developer,higherstudies,Finance,no,no,Biographies,Work,yes,stubborn,Technical,salary,hard worker,no,yes,Network Security Engineer
67,60,83,74,64,75,65,65,76,5,7,4,6,3,no,yes,no,hadoop,hacking,no,no,excellent,medium,IOT,testing,higherstudies,SAaS services,no,yes,Dictionaries,Work,no,gentle,Technical,work,smart worker,yes,yes,Network Security Engineer
73,85,67,81,93,71,68,77,67,12,7,3,7,8,no,yes,no,python,cloud computing,no,yes,poor,excellent,parallel computing,developer,job,Testing and Maintainance Services,no,yes,Science,Work,no,stubborn,Management,work,hard worker,no,no,Network Security Engineer
87,85,63,84,71,73,75,83,89,7,9,3,8,8,no,no,yes,r programming,data science,yes,no,medium,poor,IOT,security,higherstudies,BPA,yes,no,Satire,Work,yes,gentle,Management,work,smart worker,yes,no,Network Security Engineer
94,74,89,63,92,85,93,86,85,10,4,1,8,6,no,yes,no,python,cloud computing,yes,yes,medium,poor,networks,security,job,BPA,no,no,Math,salary,no,gentle,Technical,salary,smart worker,no,yes,Network Security Engineer
85,87,75,62,94,60,80,68,84,6,3,1,4,3,no,yes,no,distro making,hacking,yes,yes,excellent,medium,cloud computing,cloud computing,job,Service Based,no,no,Mystery,Work,no,stubborn,Technical,salary,hard worker,yes,yes,Network Security Engineer
78,67,61,63,91,62,78,71,91,10,8,4,4,4,yes,yes,yes,machine learning,game development,no,no,excellent,excellent,programming,cloud computing,job,Cloud Services,no,yes,Anthology,Work,yes,stubborn,Management,work,hard worker,no,yes,Network Security Engineer
80,78,64,73,61,71,90,65,71,6,8,5,1,8,no,no,no,distro making,data science,no,yes,poor,medium,Management,cloud computing,higherstudies,Finance,yes,no,Journals,salary,no,gentle,Technical,work,hard worker,no,yes,Network Security Engineer
83,92,73,67,73,75,78,79,68,11,1,0,1,1,yes,yes,yes,machine learning,web technologies,no,no,medium,medium,Software Engineering,system developer,job,Finance,yes,no,Self help,salary,yes,gentle,Management,salary,smart worker,yes,no,Network Security Engineer
